id,title,url,subtitle,rating,reviews,hours,lectures,level,currentPrice,originalPrice
102,Coding Interview Jumpstart: Algorithms and Problem Solving,https://www.udemy.com/course/coding-interview-jumpstart/,Learn the principles behind fundamental computer science algorihms asked on interviews for top tech companies.,4.3,5408,6.5,31,Beginner,0,0
103,Data Structures in C++,https://www.udemy.com/course/data-structures-for-beginners-c-plusplus/,For Beginners,4.4,5749,4.0,35,Beginner,0,0
104,First course in Data Structures in C,https://www.udemy.com/course/first-course-in-data-structures-in-c/,Discussion of <strong>data</strong> <strong>structures</strong> in C,3.8,557,1.5,7,Beginner,0,0
105,Data Structures in Java for Noobs (Lite Edition),https://www.udemy.com/course/data-structures-in-java-for-noobs-lite-edition-algorithms-beginners/,<strong>Data</strong> <strong>Structures</strong> Made Simple With Step by Step Instructions and Diagrams,4.5,5629,1.5,20,Beginner,0,0
106,"Data Science with Analogies, Algorithms and Solved Problems",https://www.udemy.com/course/data-science-with-analogies-algorithms-and-solved-problems/,"Machine learning, <strong>Data</strong> Mining, <strong>Data</strong> Science, Deep Learning, <strong>Data</strong> analysis, <strong>Data</strong> analytics, Python, Visualization",4.4,5306,1.5,18,Beginner,0,0
107,Algorithms. Development of Programming Logic,https://www.udemy.com/course/algorithms-programming-logic/,Develop your Programming Logic by creating <strong>Algorithms</strong>,4.1,5109,2.0,17,Beginner,0,0
108,JavaScript Arrays and Objects Basic Data Structures,https://www.udemy.com/course/javascript-coding/,Explore how you can use JavaScript to get array items with commonly used array methods,4.5,561,,10,All Levels,0,0
109,Learn the basics of Python -- Part 1,https://www.udemy.com/course/learn-the-basics-of-python-h/,"Python <strong>data</strong> types, <strong>data</strong> <strong>structures</strong>, functions, control flow, modules and packages, classes and objects.",4.1,548,1.5,5,Beginner,0,0
110,Get Ready for Coding Interview,https://www.udemy.com/course/get-ready-for-coding-interview/,"Prepare for your next programming interview, no matter the language or tech stack. Examples in C#.",4.9,5217,1.5,24,All Levels,0,0
111,Introduction To Python Programming,https://www.udemy.com/course/pythonforbeginnersintro/,A Quick and Easy Intro to Python Programming,4.5,568216,,22,Beginner,0,0
112,Mastering Coding Interviews & Competitions,https://www.udemy.com/course/mastering-coding-interviews-and-competitions/,Problems & Solutions to Easy/Medium/Hard Coding Interview Problems,3.8,567,2.0,27,Intermediate,0,0
113,Competitive Programming for Beginners,https://www.udemy.com/course/competitive-programming-for-beginners/,Get started with your competitive programming journey by learning the building blocks of CP's world.,3.8,589,,18,Beginner,0,0
114,Web Scraping Financial News using Python 3,https://www.udemy.com/course/web-scraping-financial-news-using-python-3/,Learn techniques to gather unstructured finance <strong>data</strong> using Python library BeautifulSoup & transform into <strong>structured</strong> <strong>data</strong>,4.8,589,,7,Beginner,0,0
115,An Introduction to Sampling based Motion Planning Algorithms,https://www.udemy.com/course/an-introduction-to-sampling-based-motion-planning-algorithms/,Interested in self driving cars and robotics? Then check out this course!,4.6,551,1.5,15,All Levels,0,0
116,C++ Tutorial for Complete Beginners,https://www.udemy.com/course/free-learn-c-tutorial-beginners/,"How to program in the popular (and tricky!) C++ programming language, for complete beginners.",4.4,544823,18.0,82,Beginner,0,0
117,Fundamentals of complexity theory,https://www.udemy.com/course/fundamentals-of-complexity-theory/,"Learn about P, NP, NP hard and NP complete problem",4.4,531,,11,Beginner,0,0
118,Algorithms in Competitive Programming: Maths Puzzles I,https://www.udemy.com/course/algorithms-in-competitive-programming-maths-puzzles-i/,Covering <strong>algorithms</strong> used in maths problems from beginner level to intermidiate level,4.0,521,1.5,21,All Levels,0,0
119,The complete algorithms course in C# and .Net,https://www.udemy.com/course/the-complete-algorithms-course-in-csharp-and-dotnet/,Learn the fundamentals of C# and improve your <strong>algorithmic</strong> skills to become a well paid developer. Let's code in C#!,4.2,5236,5.0,26,Beginner,0,0
120,Java Tutorial for Complete Beginners,https://www.udemy.com/course/java-tutorial/,Learn to program using the Java programming language,4.4,599964,16.0,73,All Levels,0,0
