id,title,url,subtitle,rating,reviews,hours,lectures,level,currentPrice,originalPrice
23,Data Structures & Algorithms in JS + 100 LEETCODE Problems,https://www.udemy.com/course/cracking-the-javascript-coding-interview-k/,"Learn DSA, Problem Solving and <strong>Algorithms</strong> with Javascript + 100 Leetcode Problems",5.0,522,23.5,173,Beginner,"249,000","₫799,000"
24,Algorithms Data Structures in Java #1 (+INTERVIEW QUESTIONS),https://www.udemy.com/course/algorithms-and-data-structures/,"Basic <strong>Algorithms</strong> and <strong>Data</strong> <strong>Structures</strong>: AVL tree, Binary Search Trees, Arrays, B Trees, Linked Lists, Stacks and HashMaps",4.7,52879,23.0,195,All Levels,"649,000","₫999,000"
25,Data Structures and Algorithms: In-Depth using Python,https://www.udemy.com/course/learning-data-structures-algorithms-in-python-from-scratch/,Implement <strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> in Python,4.6,51986,34.5,260,All Levels,"299,000","₫499,000"
26,Data Structures and Algorithms: In Depth using Java,https://www.udemy.com/course/data-structures-and-algorithms-in-depth-using-java/,"List, Stacks, Queues, Binary Search Trees, Hashing, Heaps, Graphs, Search, Sorting- <strong>Data</strong> <strong>Structures</strong> &amp; <strong>Algorithms</strong> in Java",4.6,582,28.5,229,All Levels,"249,000","₫399,000"
27,Practical Data Structures & Algorithms in Java + HW,https://www.udemy.com/course/practical-data-structures-algorithms-in-java/,Go from zero to hero in the most important <strong>algorithms</strong> and <strong>data</strong> <strong>structures</strong> using Java,4.5,55613,11.5,47,All Levels,"299,000","₫1,499,000"
28,From 0 to 1: Data Structures & Algorithms in Java,https://www.udemy.com/course/from-0-to-1-data-structures/,Learn so you can see it with your eyes closed,4.8,51341,15.0,67,All Levels,"299,000","₫449,000"
29,Learning Data Structures and Algorithms,https://www.udemy.com/course/learning-data-structures-and-algorithms/,Implementation and Analysis for Increased Software Performance,4.5,5531,8.0,102,Beginner,"249,000","₫399,000"
30,Data Structures and Algorithms in Python,https://www.udemy.com/course/data-structures-and-algorithms-in-python-gb/,"Visualize the inner workings of <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong>, line by line, through comprehensive animations",4.6,550,11.5,80,Beginner,"249,000","₫1,249,000"
31,Cracking Coding Interview-Data Structure & Algorithm MAANG,https://www.udemy.com/course/coding-interview-question-data-structures-algorithm/,"Ace the Google, Amazon, Meta, Microsoft, Uber.. coding interviews 2024. Step-by-step guide for their toughest questions!",4.6,5776,48.0,202,All Levels,"249,000","₫1,199,000"
32,Algorithms and Data Structures in C#: Complete Tutorial,https://www.udemy.com/course/algorithms-data-structures-csharp/,Learn <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong> in C# from A to Z. Pass coding interview. Learn unit testing and TDD in addition.,4.3,51878,15.5,137,All Levels,"249,000","₫1,199,000"
